round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
1,15,Doug Edwards,SF,United States,Atlanta Hawks,Florida State,No,College Senior,1993
1,16,Rex Walters,SG,United States,New Jersey Nets,Kansas,No,College Senior,1993
1,17,Greg Graham,SG,United States,Charlotte Hornets,Indiana,No,College Senior,1993
1,18,Luther Wright,C,United States,Utah Jazz,Seton Hall,No,College Junior,1993
1,19,Acie Earl,C,United States,Boston Celtics,Iowa,No,College Senior,1993
1,20,Scott Burrell,SF,United States,Charlotte Hornets,Connecticut,Yes,College Senior,1993
1,21,James Robinson,SG,United States,Portland Trail Blazers,Alabama,No,College Junior,1993
1,22,Chris Mills,SF,United States,Cleveland Cavaliers,Arizona,No,College Senior,1993
1,23,Ervin Johnson,C,United States,Seattle SuperSonics,New Orleans,No,College Senior,1993
1,24,Sam Cassell,PG,United States,Houston Rockets,Florida State,No,College Senior,1993
1,25,Corie Blount,PF,United States,Chicago Bulls,Cincinnati,No,College Senior,1993
1,26,Geert Hammink,C,Netherlands,Orlando Magic,LSU,Yes,College Senior,1993
1,27,Malcolm Mackey,PF,United States,Phoenix Suns,Georgia Tech,No,College Senior,1993
2,28,Lucious Harris,PG,United States,Dallas Mavericks,Long Beach State,No,College Senior,1993
2,29,Sherron Mills,F/C,United States,Minnesota Timberwolves,VCU,No,College Senior,1993
2,30,Gheorghe Mureșan,C,Romania,Washington Bullets,Pau-Orthez,No,College Freshman,1993
2,31,Evers Burns,F,United States,Sacramento Kings,Maryland,No,College Senior,1993
2,32,Alphonso Ford,SG,United States,Philadelphia 76ers,Mississippi Valley State,No,College Senior,1993
2,33,Eric Riley,C,United States,Dallas Mavericks,Michigan,No,College Senior,1993
2,34,Darnell Mee,SG,Australia,Golden State Warriors,Western Kentucky,No,College Senior,1993
2,35,Ed Stokes,C,United States,Miami Heat,Arizona,No,College Senior,1993
2,36,John Best,F/C,United States,New Jersey Nets,Tennessee Tech,No,College Senior,1993
2,37,Nick Van Exel,PG,United States,Los Angeles Lakers,Cincinnati,No,College Senior,1993
2,38,Conrad McRae,PF,United States,Washington Bullets,Syracuse,No,College Senior,1993
2,39,Thomas Hill,SG/SF,United States,Indiana Pacers,Duke,No,College Senior,1993
2,40,Rich Manning,C,United States,Atlanta Hawks,Washington,No,College Senior,1993
2,41,Anthony Reed,F,United States,Chicago Bulls,Tulane,No,College Senior,1993
2,42,Adonis Jordan,PG,United States,Seattle SuperSonics,Kansas,No,College Senior,1993
2,43,Josh Grant,PF,United States,Denver Nuggets,Utah,No,College Senior,1993
2,44,Alex Holcombe,C,United States,Sacramento Kings,Baylor,No,College Senior,1993
2,45,Bryon Russell,SF,United States,Utah Jazz,Long Beach State,No,College Senior,1993
2,46,Richard Petruška,C,Slovakia,Houston Rockets,UCLA,No,College Senior,1993
2,47,Chris Whitney,PG,United States,San Antonio Spurs,Clemson,No,College Senior,1993
2,48,Kevin Thompson,C,United States,Portland Trail Blazers,NC State,No,College Senior,1993
2,49,Mark Buford,C,United States,Phoenix Suns,Mississippi Valley State,No,College Senior,1993
2,50,Marcelo Nicola,PF,Argentina,Houston Rockets,Taugres (Spain),No,Playing Internationally,1993
2,51,Spencer Dunkley,C,United Kingdom,Indiana Pacers,Delaware,No,College Senior,1993
2,52,Mike Peplowski,C,United States,Sacramento Kings,Michigan State,No,College Senior,1993
2,53,Leonard White,F,United States,Los Angeles Clippers,Southern,No,College Sophmore,1993
2,54,Byron Wilson,SG/SF,United States,Phoenix Suns,Utah,No,College Senior,1993
1,1,Glenn Robinson,SF,United States,Milwaukee Bucks,Purdue,No,College Junior,1994
1,2,Jason Kidd^,PG,United States,Dallas Mavericks,California,No,College Sophmore,1994
1,3,Grant Hill^,SF,United States,Detroit Pistons,Duke,No,College Senior,1994
1,4,Donyell Marshall,SF,United States,Minnesota Timberwolves,Connecticut,No,College Junior,1994
1,5,Juwan Howard,PF,United States,Washington Bullets,Michigan,No,College Junior,1994
1,6,Sharone Wright,PF/C,United States,Philadelphia 76ers,Clemson,No,College Junior,1994
1,7,Lamond Murray,SF,United States,Los Angeles Clippers,California,No,College Junior,1994
1,8,Brian Grant,PF,United States,Sacramento Kings,Xavier,No,College Senior,1994
1,9,Eric Montross,C,United States,Boston Celtics,North Carolina,No,College Senior,1994
1,10,Eddie Jones,SG,United States,Los Angeles Lakers,Temple,No,College Senior,1994
1,11,Carlos Rogers,SF,United States,Seattle SuperSonics,Tennessee State,Yes,College Senior,1994
1,12,Khalid Reeves,PG,United States,Miami Heat,Arizona,No,College Senior,1994
1,13,Jalen Rose,G/F,United States,Denver Nuggets,Michigan,No,College Junior,1994
1,14,Yinka Dare,C,Nigeria,New Jersey Nets,George Washington,No,College Sophmore,1994
1,15,Eric Piatkowski,SG,United States,Indiana Pacers,Nebraska,No,College Senior,1994
1,16,Clifford Rozier,PF,United States,Golden State Warriors,Louisville,Yes,College Junior,1994
1,17,Aaron McKie,SG,United States,Portland Trail Blazers,Temple,No,College Senior,1994
1,18,Eric Mobley,PF,United States,Milwaukee Bucks,Pittsburgh,Yes,College Senior,1994
1,19,Tony Dumas,SG,United States,Dallas Mavericks,UMKC,Yes,College Senior,1994
1,20,B.J. Tyler,PG,United States,Philadelphia 76ers,Texas,Yes,College Senior,1994
1,21,Dickey Simpkins,PF,United States,Chicago Bulls,Providence,No,College Senior,1994
1,22,Bill Curley,PF,United States,San Antonio Spurs,Boston College,No,College Senior,1994
1,23,Wesley Person,SG,United States,Phoenix Suns,Auburn,No,College Senior,1994
1,24,Monty Williams,SF,United States,New York Knicks,Notre Dame,No,College Senior,1994
1,25,Greg Minor,SG,United States,Los Angeles Clippers,Louisville,Yes,College Senior,1994
1,26,Charlie Ward,PG,United States,New York Knicks,Florida State,Yes,College Senior,1994
